Voto;Total;PP;PSOE;VOX;Sumar;ERC;Junts;EHBILDU;EAJPNV;BNG;CCa;UPN;PACMA;Otropartido;Enblanco;Votonulo;Abstención;Noteníaedad;Noteníaderechoavoto;N.R.;N.C.
PSOE;23,8;1,3;68,2;1,9;10,2;20,4;4,6;0,6;24,3;5,0;;;2,2;2,5;1,1;4,1;7,7;16,5;9,0;11,1;8,1
PP;18,1;70,1;3,9;14,3;0,6;;0,9;;;8,7;20,6;52,9;4,1;15,1;11,2;10,4;9,2;13,4;9,7;8,8;6,2
VOX;9,1;7,2;1,6;63,4;0,1;;;;;;14,8;;;3,3;;0,8;12,9;25,9;11,6;5,0;1,0
Sumar;4,5;;2,0;;36,5;6,4;;;;;;;;1,0;;;2,0;2,9;;1,1;1,2
Podemos;3,1;;1,2;;25,8;0,9;;7,6;;;;;;4,0;;;1,0;1,7;1,7;0,3;
SALF;1,0;0,5;;4,6;0,4;;;;;;;;;6,6;3,5;0,9;1,3;;;1,6;3,5
PACMA;0,8;;0,4;;0,1;;;;;;;;53,3;2,9;;;1,3;;;2,8;1,1
EH-Bildu;0,8;;;;0,5;;;80,3;1,6;;;;;;;;0,3;1,9;;0,4;
Junts;0,8;;;;0,9;0,8;46,3;;;;;;;;0,6;;0,2;3,1;;;
ERC;0,6;;0,0;;0,6;29,4;4,3;;;;;;;;;;0,2;;;;
BNG;0,4;;;;0,8;;;;;75,0;;;;;;;;;;0,3;
EAJ-PNV;0,4;;;;;;;;40,9;;;;;;;;0,3;;;;
CCa;0,3;;0,1;;;;;;;;35,1;;;;1,0;;;;;3,4;
UPN;0,1;0,3;;;;;;;;;;32,4;;;;;;0,9;;;
Otro partido;2,6;0,6;1,2;0,8;5,1;3,2;19,0;;;;;;;32,1;4,3;6,2;2,2;3,6;;5,3;1,2
En blanco;3,8;2,0;3,0;1,9;2,0;0,6;1,9;;1,5;;;;1,0;1,6;49,8;1,7;7,2;3,9;;1,2;3,5
Voto nulo;2,3;1,9;0,5;0,4;1,6;1,6;1,3;;;;;14,7;;;3,1;48,4;2,7;1,5;1,6;7,5;0,2
No votaría;7,1;1,9;3,6;2,0;2,4;6,1;1,9;;21,4;3,2;;;16,5;2,1;3,0;4,5;28,1;4,1;5,8;7,9;7,2
No sabe todavía;16,7;12,8;13,5;8,4;12,0;30,5;17,0;11,5;7,6;8,2;27,4;;18,2;26,5;22,4;11,4;18,0;17,3;55,9;41,0;35,9
N.C.;3,5;1,3;0,7;2,4;0,6;;2,7;;2,5;;2,1;;4,6;2,4;;11,5;5,5;3,3;4,7;2,4;31,0

