provincia_INE;porcentaje_participacion
Albacete;70,74
Alicante/Alacant;64,42
Almería;60,44
Araba/Álava;60,12
Asturias;61,34
Ávila;72,85
Badajoz;72,27
Balears, Illes;56,71
Barcelona;55,31
Bizkaia;60,23
Burgos;65,34
Cantabria;70,39 
Castellón/Castelló;69,09
Ceuta;57;21
Ciudad Real;71,07
Coruña, A;63,40
Cuenca;76,24
Cáceres;73,06
Cádiz;56,49
Córdoba;64,76
Girona;54,25
Granada;64,12
Guadalajara;68,84
Gipuzkoa;59,89
Huelva;62,95
Huesca;68,45
Jaén;69,47
León;66,12
Lleida;59,45
Lugo;71,91
Madrid;69,53 
Melilla;54,36
Murcia;65,08
Málaga;57,73
Navarra;69,53 
Ourense;70,40
Palencia;69,83
Palmas, Las;54,75
Pontevedra;64,46
Rioja, La;72,24
Salamanca;67,18
Segovia;71,42
Sevilla;61,77
Soria;67,84
Tarragona;56,39
Tenerife;58,3
Teruel;74,34
Toledo;70,42
Valencia/València;71,08
Valladolid;68,53
Zamora;69,75
Zaragoza;67,96
