nombre,sexo,hindex,ciencia,licenciatura,doctorado,cargo_largo,cargo,universidad o institución,localidad,número libros,ministerio
Maite Alguacil Marí,M,11,Ciencias sociales,Economía,Economía,Catedrática de Economía,Catedrática/o,Universitat Jaume I,Castellón, Inclusión, Seguridad Social y Migraciones
Olga Blasco Blasco,M,9,Ciencias sociales,Ciencias Económicas y Empresariales,Ciencias Económicas y Empresariales,Profesor titular,Profesor/a titular,Universitat de València,Valencia,, Cultura
Andrés Cabrera León,H,13,Ciencias formales,Ciencias y Técnicas Estadísticas,Matemáticas y Estadística,Profesor,Profesor/a,Escuela Andaluza de Salud Pública y Universidad de Granada,Granada,,Sanidad
Alejandra Cortés Pascual,M,17,Ciencias sociales,Psicopedagogía,Psicopedagogía,Catedrática de Métodos de Investigación y Diagnóstico en Educación,Catedrática/o,Universidad de Zaragoza,Zaragoza,,Educación, Formación Profesional y Deportes
David García León,H,9,Ciencias sociales,Economía,Economía Cuantitativa,Oficial científico,Oficial científica/o,Centro Común de Investigación de la Comisión Europea (JRC),Sevilla,, Agricultura, Pesca y Alimentación
Mónica García Melón,M,21,Ingeniería,Ingeniería Industrial,Ingeniería Industrial,Catedrática de Proyectos de Ingeniería,Catedrática/o,Universitat Politècnica de València,Valencia,, Vivienda y Agenda Urbana
Águeda Gómez Suárez,M,11,Ciencias sociales,Sociología,Sociología,Profesora titular de Sociología,Profesor/a titular,Universidad de Vigo,Vigo,, Igualdad
Elena González Toril,M,21,Ciencias naturales,Bioquímica y Biología Molecular,Biología Molecular,Científica titular,Científica/o titular,Centro de Astrobiología del Instituto Nacional de Tecnología Aeroespacial (INTA),Madrid,, Defensa
Manuel Herrera Usagre,H,8,Ciencias sociales,Ciencias Políticas y Sociología,Análisis de los problemas sociales en las sociedades avanzadas,Profesor,Profesor/a,Universidad de Sevilla,Sevilla,, Trabajo y Economía Social
Isabelle Claude Hupont Torres,M,15,Ingeniería,Ingeniería de Telecomunicaciones,Ingeniería Informática,Oficial científica,Oficial científica/o,Centro Común de Investigación de la Comisión Europea (JRC),Zaragoza,, Ciencia, Innovación y Universidades
Laureano Jiménez Esteller,H,36,Ciencias naturales,Química,Química,Catedrático del Departamento de Ingeniería Química,Catedrática/o,Universidad Rovira i Virgili,Tarragona,, Industria y Turismo
Irene Lebrusán Murillo,M,11,Ciencias sociales,Sociología,Sociología,Profesora de Sociología,Profesor/a,Universidad Autónoma de Madrid,Madrid,, Derechos Sociales, Consumo y Agenda 2030
Álvaro Martín Hernández,H,,Ciencias sociales,Sociología,Sociología,Sociólogo,Funcionaria/o,Administración General del Estado,Madrid,, Política Territorial y Memoria Democrática
Belén Martín Ramos,M,,Ingeniería,Ingeniería de Montes,Estudios Avanzados en Construcción y Vías Rurales,Profesora titular,Profesor/a titular,Universidad Politécnica de Madrid,Madrid,, Transportes y Movilidad Sostenible
Lucía del Moral Espín,M,8,Ciencias sociales,Ciencia Política y Sociología,Derechos Humanos y Desarrollo,Profesora titular,Profesor/a titular,Universidad de Cádiz,Cádiz,, Juventud e Infancia
Manuel Moyano Pacheco,H,,Ciencias sociales,Psicología,Psicología,Profesor titular,Profesor/a titular,Universidad de Córdoba,Córdoba,, Interior
Gustavo Nombela Merchán,H,,Ciencias sociales,Economía,Economía,Profesor titular,Profesor/a titular,Universidad Complutense de Madrid,Madrid,, Economía, Comercio y Empresa
Rüdiger Ortiz Álvarez,H,13,Ciencias naturales,Biología,Ciencia y Tecnología del Agua,Técnico superior de evidencia científica,Funcionaria/o,Congreso de los Diputados,Madrid,, Transición Ecológica y el Reto Demográfico
Margarita Aparecida Robles Carrillo,M,8,Ciencias sociales,Derecho,Derecho,Catedrática en Derecho Internacional Público y de la UE,Catedrática/o,Universidad de Granada,Granada,, Transformación Digital y de la Función Pública
José Manuel Robles Morales,H,,Ciencias sociales,Ciencia Política y Sociología,Ciencia Política y Sociología,Profesor titular de Sociología,Profesor/a titular,Universidad Complutense de Madrid,Madrid,, Presidencia, Justicia y Relaciones con las Cortes
Irene Rovira Ferrer,M,5,Ciencias sociales,Derecho,Sociedad de la Información y el Conocimiento,Profesora de Derecho Financiero y Tributario,Profesor/a,Universidad Abierta de Cataluña,Barcelona,, Hacienda
Miguel Ángel Simón Gómez,H,,Ciencias sociales,Trabajo Social,Ciencia Política y Administración Pública,Profesor en Relaciones Internacionales y Ciencia Política,Profesor/a,Universidad Complutense de Madrid,Madrid,4, Asuntos Exteriores
