Voto;Total;PP;PSOE;VOX;Sumar;ERC;Junts;EH-BILDU;EAJ-PNV;BNG;CCa;UPN;PACMA;Otro partido;En blanco;Voto nulo;Abstención;No tenía edad;No tenía derecho a voto;N.R.;N.C.
PSOE;20,5;0,8;62,9;0,1;15;3,2;3,1;3,5;4,4;4,3;;;;0,6;0,4;;9,7;9;72,4;15,4;1,9
PP;18,1;72,1;2,2;6,9;0,5;;3;;;1,6;;19,4;8,6;7,4;6,1;2,6;10,4;22,1;5;5,6;6,4
VOX;8,1;4,1;0,5;64,4;;;;0,7;;;6,4;;;4,3;13,8;;8,2;16,2;4,8;8;2,2
Sumar;4,2;0;2,3;0,2;35,3;;;4;;1,8;;;;2,6;1,3;;1;7,1;;3,2;1,3
Podemos;3;;1,6;0,2;23,5;8,6;2,2;1,7;;3,1;;;;2,7;0,6;0,4;1;2,2;;2,8;
SALF;1,9;1,4;0,1;12,1;;;;;;;13,4;;;0,2;8,4;3,4;2,5;;;1;0,5
ERC;1,1;;0,5;;0,4;53,4;2,1;;;;;;;;;;0,5;;;;0,2
PACMA;0,9;0,3;0,7;;1,1;;10,9;;;;;;48,4;1,3;0,6;;1;;;0,5;
Junts;0,8;;0,3;;;1,3;48,7;;;;;;;;;;0,2;2,2;;;0,7
EAJ-PNV;0,7;0,1;0,3;;;;;2,8;53,2;;;;;;;;1,6;;;;
EH-BILDU;0,7;;;;0,6;;;80,2;20,2;;;;;;;;;;;;
BNG;0,7;0,1;0,4;;0,3;;;;;67,5;;;;;;;;;;;
CCa;0,1;0,2;0,1;;;;;;;;35,8;;;;;;;;;;
UPN;0,1;;;;;;;;;;;65,6;;;;;;;;;
Otro partido;2,2;0,4;1,6;0,4;3;3,3;10,8;;1,1;;;;5,5;47,7;0,9;1,8;0,5;;;3,5;1,2
En blanco;3,7;2,6;1,9;2,1;1,6;5,5;1,5;;;2;;;;3,1;35,8;5,5;5,8;6,4;0,8;5;1,1
Voto nulo;2,6;0,8;2,5;0,7;0,4;;;;;;;;1,8;0,3;0,3;64,4;3,7;8,7;;2,4;2,8
Abstención;8,9;3,2;3,3;4,7;2,3;8,5;5,2;;2,5;;;;10,2;3,2;4,5;4,4;35;10,5;5,4;4,6;7
No sabe todavía;16,6;11,8;16,3;7,5;15,4;14,1;12,4;7,1;36,8;18,7;44,4;14,9;7,8;26,5;23,8;16,3;15,5;15,6;11,7;42,8;31
N.C.;5,1;2,2;2,6;0,7;0,8;2;;;;1;;;17,6;;3,5;1,2;3,5;;;5,3;43,5
