mencionados,tipo
Juan Erasmo Mochi,
Tina Turner,
Tamara Falcó, famoseo
Pau,
Colate, famoseo
Sánchez, política
Puigdemont, política
Real Betis, deporte
Los Morancos,
Los del Río,
Camarón,
Rey Juan Carlos,política
Iniesta,deporte
Nadal,deporte
Oasis,
Comunidad de Madrid,política
María Jesús y su acordeón,
Ana y Víctor,
Rodrigo,
Manchester City,deporte
Lolita,
Leo DiCaprio,
French Affair,
Barón Rojo,
Emiliano García Page,política
David Bisbal,
Errejón,política
Morat,
Despistaos,
Óscar Puente,política
Rosario,
Los Manolos,
Chimo Bayo,
Feijóo,política
Camela,
Osasuna,deporte
El Arrebato,
Melendi,
Begoña Gómez,política
La Frontera,
Creedence Clearwater Revival,
Leticia Sabater,
Michelle Pfeiffer,cine
Loco Mía,
Kamala Harris,política
Trump,política
Pablo Iglesias,política
Yolanda Díaz,política
Putin,política
Almeida,política
monjas de Belorado,religión
Vox,política
Morata,deporte
Martirio,
Cillian Murphy,
Juez Peinado,judicatura
Julio Iglesias,
Camilo,
Cruz y Raya,
Carvajal,
The Objective,medios
El Chiringuito de Jugones,medios
Chanel,
Cristina Pardo,medios
Nuria Roca,famoseo
Juan del Val,famoseo
Almodóvar,cine
Raffaella,
Nacho Cano,
Teresa Ribera,política
PP,política
Silvia Abril,
David Fernández,
Jiménez Losantos,medios
Las Grecas,
Robert Redford,cine
Los Chunguitos,
Los Chichos,
Manolo Escobar,
Seguridad Social,
OBK,
Lady Gaga,
Ayuso,política
Abraham Mateo,
Jaime Morey,
Sting,
Dabiz Muñoz,famoseo
Estopa,
Lamine Yamal,deporte
Spielberg,cine
Amadeo Llados,famoseo
Shakira,
Los Lunnis,
Juanes,
Regaliz,
Manuela Carmena,política
Amaral,
Ester Expósito,
Dani Martín,
Coti,
Évole,medios
Garrapata,
Pancho Varona,
Jesulín de Ubrique,famoseo
Serrat,
Aldama,política
Dúrcal,
Pradera,
Mocedades,
Racing,deporte
El Canto del Loco,
Enric Milián,
ABBA,
Chenoa,
Aitana,
Christina,
Taylor Swift,
Los Pecos,
Mazón,política
El Último de la Fila,
Mikel Erentxun,
Calatrava,famoseo
Cher,
Inés Hernand,medios
Cifuentes,
Raffaella Carrá,
Pau Donés,
Supersubmarina,
Amaia,
Leire,
ABC,medios
