Autonomia;provincia;pisos_2023;pisos_2025;en_obra_2025
Andalucía;Almería;1471;1453;1448
Andalucía;Cádiz;500;453;1247
Andalucía;Córdoba;89;90;88
Andalucía;Granada;534;485;257
Andalucía;Huelva;696;503;59
Andalucía;Jaén;178;46;177
Andalucía;Málaga;602;747;321
Andalucía;Sevilla;474;366;103
Aragón;Huesca;107;79;21
Aragón;Teruel;70;11;130
Aragón;Zaragoza;1146;554;997
Canarias;Palmas, Las;532;493;97
Canarias;Santa Cruz de Tenerife;299;294;172
Cantabria;Cantabria;962;731;363
Castilla-La Mancha;Albacete;136;80;149
Castilla-La Mancha;Ciudad Real;845;293;597
Castilla-La Mancha;Cuenca;130;41;159
Castilla-La Mancha;Guadalajara;443;471;431
Castilla-La Mancha;Toledo;2155;1530;863
Castilla y León;Ávila;348;351;95
Castilla y León;Burgos;310;100;315
Castilla y León;León;523;104;1005
Castilla y León;Palencia;80;33;1
Castilla y León;Salamanca;353;202;85
Castilla y León;Segovia;323;135;100
Castilla y León;Soria;106;25;0
Castilla y León;Valladolid;672;475;100
Castilla y León;Zamora;79;18;284
Cataluña/Catalunya;Barcelona;6997;7853;1199
Cataluña/Catalunya;Girona;1776;1961;872
Cataluña/Catalunya;Lleida;1716;1033;894
Cataluña/Catalunya;Tarragona;3010;2063;1583
Comunidad de Madrid;Madrid;2709;3028;165
Comunidad Foral de Navarra;Navarra;43;62;8
Comunitat Valenciana;Alicante/Alacant;1801;1412;510
Comunitat Valenciana;Castellón/Castelló;3051;2058;2926
Comunitat Valenciana;Valencia/València;4045;3286;1740
Extremadura;Badajoz;298;268;152
Extremadura;Cáceres;202;112;21
Galicia;Coruña, A;1206;1217;706
Galicia;Lugo;136;206;308
Galicia;Ourense;48;22;37
Galicia;Pontevedra;440;446;625
Illes Balears;Balears, Illes;447;404;84
La Rioja;Rioja, La;519;152;525
País Vasco/Euskadi;Araba/Álava;18;5;0
País Vasco/Euskadi;Bizkaia;21;36;0
País Vasco/Euskadi;Gipuzkoa;14;20;0
Principado de Asturias;Asturias;395;303;46
Región de Murcia;Murcia;3485;2151;1824
